order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000083,2,debit_card,1,4399.17
ORD000084,1,upi,1,2935.8
ORD000085,1,debit_card,1,4798.15
ORD000085,2,CREDIT_CARD,8,646.13
ORD000085,3,upi,1,3511.74
ORD000086,1,,1,8256.54
ORD000087,1,debit_card,1,3210.24
ORD000088,1,credit_card,3,2739.2
ORD000088,2,net_banking,1,4956.22
ORD000089,1,net_banking,1,7125.71
ORD000090,1,credit_card,11,443.93
ORD000090,2,upi,1,2169.83
ORD000091,1,upi,1,5119.7
ORD000092,1,debit_card,1,8663.93
ORD000093,1,net_banking,1,1871.9
ORD000094,1,wallet,1,3749.69
ORD000095,1,upi,1,6527.81
ORD000096,1,debit_card,1,0.0
ORD000097,1,wallet,1,4981.49
ORD000098,1,credit_card,12,858.3
ORD000099,1,net_banking,-2,4826.19
ORD000100,1,net_banking,1,3699.8
ORD000101,1,upi,1,5724.78
ORD000102,1,debit_card,1,7238.0
ORD000103,1,upi,1,704.5
ORD000104,1,upi,1,5222.57
ORD000105,1,upi,1,5657.64
ORD000106,1,wallet,1,1592.09
ORD000106,2,net_banking,1,5294.33
ORD000107,1,net_banking,1,7537.94
ORD000108,1,debit_card,1,4508.79
ORD000109,1,wallet,1,4207.08
ORD000110,1,credit_card,6,7402.98
ORD000111,1,upi,1,4126.61
ORD000112,1,net_banking,1,4594.44
ORD000113,1,net_banking,1,5734.41
ORD000114,1,upi,1,3269.56
ORD000115,1,wallet,1,8181.72
ORD000116,1, net_banking ,1,5650.74
ORD000117,1,upi,1,5264.02
ORD000118,1,credit_card,1,2509.14
ORD000119,1,upi,1,870.16
ORD000119,2,upi,1,7704.92
ORD000120,1,upi,1,7713.46
ORD000121,1,wallet,1,538.61
ORD000122,1,debit_card,1,3156.37
ORD000123,1,debit_card,1,2477.45
ORD000124,1,credit_card,1,9398.0
ORD000125,1,wallet,1,3565.25
ORD000126,1,wallet,1,4742.35
ORD000127,1,credit_card,10,6192.24
ORD000128,1,net_banking,1,5819.22
ORD000129,1, debit_card ,1,5905.5
ORD000130,1,credit_card,4,7348.09
ORD000131,1,debit_card,1,2501.04
ORD000132,1,debit_card,1,8252.98
ORD000133,1,upi,1,4447.26
ORD000134,1,net_banking,1,4805.26
ORD000135,1,wallet,1,1224.03
ORD000136,1,debit_card,1,9871.2
ORD000137,1,net_banking,1,9319.66
ORD000138,1,upi,1,4348.26
ORD000139,1,debit_card,1,714.82
ORD000139,2,credit_card,1,145.57
ORD000139,3,debit_card,1,2309.47
ORD000140,1,credit_card,5,3625.22
ORD000141,1,wallet,1,5617.52
ORD000142,1,upi,1,9835.98
ORD000143,1,debit_card,1,4740.72
ORD000144,1,credit_card,1,5776.66
ORD000145,1,net_banking,1,2127.44
ORD000146,1,credit_card,6,3708.19
ORD000146,2,upi,1,3059.18
ORD000147,1,wallet,1,1092.75
ORD000147,2,CREDIT_CARD,5,2865.38
ORD000147,3,credit_card,2,1878.22
ORD000148,1,net_banking,1,5058.94
ORD000149,1,debit_card,1,5394.05
ORD000150,1,wallet,1,6981.16
ORD000151,1,debit_card,1,4616.19
ORD000151,2,debit_card,1,2341.22
ORD000152,1,upi,1,4132.98
ORD000152,2,credit_card,2,2247.79
ORD000153,1,net_banking,1,4760.37
ORD000154,1,DEBIT_CARD,1,5251.25
ORD000155,1,upi,1,8431.52
ORD000156,1,debit_card,1,7670.69
ORD000157,1,wallet,1,1529.62
ORD000158,1,credit_card,6,7495.75
ORD000159,1,credit_card,8,4329.3
ORD000160,1,net_banking,1,8290.64
ORD000161,1,debit_card,1,959.21
ORD000161,2,credit_card,11,1839.06
ORD000162,1,upi,1,8589.49
ORD000163,1,debit_card,1,9845.74
ORD000164,1,debit_card,1,7769.65
ORD000165,1,debit_card,1,4041.38
ORD000166,1,debit_card,1,623.9
ORD000166,2,credit_card,2,6341.22
ORD000167,1,net_banking,1,6821.52
ORD000168,1,credit_card,6,2966.01
ORD000169,1,upi,1,8009.73
ORD000170,1,net_banking,-2,181.26
ORD000171,1,debit_card,1,9155.28
ORD000172,1,upi,1,6570.89
ORD000173,1,debit_card,1,4157.85
ORD000173,2,upi,1,3396.79
ORD000174,1,net_banking,1,9009.29
ORD000175,1,debit_card,1,8221.13
ORD000176,1,net_banking,1,4307.31
ORD000177,1,credit_card,7,2669.12
ORD000177,2,credit_card,10,3109.61
ORD000178,1,net_banking,1,3591.59
ORD000179,1,upi,1,227.72
ORD000179,2,upi,1,6866.05
ORD000180,1,wallet,1,1181.57
ORD000181,1,wallet,1,1949.29
ORD000182,1,credit_card,5,2125.83
ORD000183,1,debit_card,1,1977.46
ORD000183,2,,1,5356.43
ORD000184,1,wallet,1,8139.42
ORD000185,1,wallet,-2,1066.32
ORD000186,1,net_banking,1,7867.23
ORD000187,1,upi,1,4602.4
ORD000188,1,wallet,1,9614.91
ORD000189,1,net_banking,1,6514.77
ORD000190,1,net_banking,1,3762.72
ORD000191,1,wallet,1,6337.07
ORD000192,1,upi,1,5423.13
ORD000193,1,credit_card,5,2238.08
ORD000194,1,net_banking,1,1877.62
ORD000194,2, wallet ,1,3021.3
ORD000195,1,wallet,1,9357.04
ORD000196,1,net_banking,1,6494.04
ORD000197,1,wallet,1,5237.45
ORD000198,1,credit_card,10,1226.96
ORD000198,2,upi,1,117.93
ORD000198,3,credit_card,2,670.69
ORD000199,1,upi,1,8292.13
ORD000200,1,upi,1,6160.65
ORD000201,1,wallet,1,8294.19
ORD000202,1,upi,1,925.36
ORD000203,1,net_banking,1,4676.45
ORD000204,1,wallet,1,3551.51
ORD000204,2,credit_card,12,1611.47
ORD000205,1,net_banking,1,5828.64
ORD000206,1,credit_card,1,2557.52
ORD000206,2,credit_card,2,2070.02
ORD000207,1,wallet,1,2809.76
ORD000207,2,net_banking,1,1088.7
ORD000207,3,wallet,1,2987.17
ORD000208,1,upi,1,9363.36
ORD000209,1,upi,1,3550.05
ORD000209,2,debit_card,1,4598.01
ORD000210,1,upi,1,118.44
ORD000211,1,upi,1,787.35
ORD000212,1,wallet,1,2297.78
ORD000213,1,debit_card,1,786.89
ORD000213,2,debit_card,1,8686.53
ORD000214,1,wallet,1,6391.59
ORD000215,1,upi,1,4281.37
ORD000216,1,net_banking,1,1103.17
ORD000217,1,credit_card,11,4360.24
ORD000218,1,wallet,1,4358.28
ORD000219,1,wallet,1,4763.45
ORD000220,1,credit_card,12,5446.61
ORD000221,1,wallet,1,258.47
ORD000222,1,credit_card,5,9598.29
ORD000223,1,wallet,1,5128.49
ORD000224,1,upi,1,4175.28
ORD000225,1,net_banking,1,2573.53
ORD000226,1,credit_card,5,8781.26
ORD000227,1,,1,635.46
ORD000228,1,upi,1,273.22
ORD000229,1,debit_card,1,5591.9
ORD000230,1,credit_card,12,6624.65
ORD000231,1,wallet,1,574.74
ORD000231,2,,1,3531.43
ORD000232,1,debit_card,1,5137.78
ORD000233,1,upi,1,751.49
ORD000234,1,net_banking,1,283.6
ORD000234,2,upi,1,232.2
ORD000235,1,,1,2650.6
ORD000236,1,debit_card,1,8784.79
ORD000237,1,NET_BANKING,1,857.25
ORD000238,1,net_banking,1,9025.51
ORD000239,1,wallet,1,6088.51
ORD000240,1,DEBIT_CARD,1,8777.61
ORD000241,1,net_banking,1,2798.18
ORD000241,2,credit_card,2,1889.42
ORD000242,1,net_banking,1,9425.33
ORD000243,1,credit_card,5,4632.06
ORD000244,1,wallet,1,2515.62
ORD000245,1,upi,1,8780.54
ORD000246,1,upi,1,4203.68
ORD000247,1,credit_card,3,4044.19
ORD000248,1,debit_card,1,9491.17
ORD000249,1,net_banking,1,7436.82
ORD000250,1,wallet,1,1199.36
ORD000250,2,credit_card,4,1040.3
ORD000251,1,net_banking,1,1218.88
ORD000252,1,upi,1,557.11
ORD000253,1,wallet,1,9529.88
ORD000254,1,wallet,1,1615.64
ORD000254,2,credit_card,4,6452.61
ORD000255,1,upi,1,3971.87
ORD000255,2,net_banking,1,4765.59
ORD000256,1,upi,1,4934.08
ORD000257,1,wallet,1,1965.32
ORD000258,1,wallet,1,851.03
ORD000259,1,wallet,1,8391.64
ORD000260,1,wallet,1,8980.06
ORD000261,1,upi,1,2493.24
ORD000262,1,debit_card,1,4887.75
ORD000263,1,net_banking,1,8840.63
ORD000264,1,net_banking,1,5678.41
ORD000265,1,debit_card,1,3888.16
ORD000266,1,,1,9085.64
ORD000267,1,credit_card,12,9471.26
ORD000268,1,debit_card,1,9151.77
ORD000269,1,upi,1,6719.64
ORD000270,1,,1,1274.43
ORD000271,1,net_banking,1,2541.12
ORD000272,1,net_banking,1,3931.43
ORD000272,2,debit_card,1,3129.22
ORD000273,1,net_banking,1,3039.57
ORD000274,1,wallet,1,1294.62
ORD000275,1,wallet,1,5624.69
ORD000276,1,wallet,1,3255.25
ORD000277,1,credit_card,10,8923.98
ORD000278,1,wallet,1,8661.32
ORD000279,1,credit_card,8,763.83
ORD000280,1,net_banking,1,6050.41
ORD000281,1,debit_card,1,204.73
ORD000281,2,credit_card,5,1181.01
ORD000281,3,credit_card,12,2799.79
ORD000282,1,credit_card,7,58.42
ORD000282,2,upi,1,247.16
ORD000283,1,wallet,1,7312.8
ORD000284,1,upi,1,2873.53
ORD000285,1,debit_card,1,9415.77
ORD000286,1,debit_card,1,8372.45
ORD000287,1,net_banking,1,953.96
ORD000288,1,credit_card,7,5833.79
ORD000289,1,net_banking,1,2454.17
ORD000290,1,debit_card,1,7388.07
ORD000291,1,credit_card,10,3107.79
ORD000292,1,debit_card,1,5607.34
ORD000293,1,net_banking,1,1132.72
ORD000294,1,net_banking,1,6628.87
ORD000295,1,wallet,1,4274.0
ORD000296,1,upi,1,293.02
ORD000296,2,credit_card,4,2901.17
ORD000297,1,debit_card,1,5598.42
ORD000298,1,debit_card,1,8091.83
ORD000299,1,wallet,1,8807.13
ORD000300,1,debit_card,1,284.29
ORD000301,1,debit_card,1,2518.16
ORD000302,1,debit_card,1,7982.04
ORD000303,1,credit_card,6,3909.61
ORD000304,1,debit_card,1,7972.23
ORD000305,1,wallet,1,615.97
ORD000306,1,debit_card,1,1536.35
ORD000307,1,debit_card,1,4037.14
ORD000308,1,credit_card,7,8234.84
ORD000309,1,wallet,1,8219.36
ORD000310,1,credit_card,3,1129.11
ORD000311,1,upi,1,4350.5
ORD000312,1,net_banking,1,2981.83
ORD000313,1,upi,1,2443.78
ORD000314,1,wallet,1,9428.67
ORD000315,1,upi,1,4404.93
ORD000316,1,wallet,1,1330.88
ORD000316,2,credit_card,12,8146.59
ORD000317,1,wallet,1,6618.27
ORD000318,1,net_banking,1,3419.51
ORD000319,1,net_banking,1,1414.3
ORD000320,1,debit_card,1,4763.12
ORD000320,2,wallet,1,2223.18
ORD000321,1,credit_card,1,7200.81
ORD000322,1, credit_card ,3,3325.5
ORD000323,1,debit_card,1,8406.06
ORD000324,1,wallet,1,9875.17
ORD000325,1,credit_card,7,2841.12
ORD000325,2,net_banking,1,4980.59
ORD000326,1,net_banking,1,1799.87
ORD000327,1,upi,1,7417.8
ORD000328,1,debit_card,1,9830.45
ORD000329,1,credit_card,9,80.29
ORD000329,2,credit_card,8,1084.03
ORD000330,1,upi,1,179.41
ORD000330,2,net_banking,1,88.42
ORD000330,3,credit_card,9,76.62
ORD000331,1,wallet,1,4800.45
ORD000332,1,net_banking,1,4452.83
ORD000333,1,net_banking,1,1133.82
ORD000334,1,upi,1,9076.5
ORD000335,1,debit_card,1,2207.24
ORD000336,1,debit_card,1,3432.0
ORD000336,2,debit_card,1,3874.63
ORD000337,1,upi,1,1040.88
ORD000338,1,wallet,1,4434.74
ORD000339,1,debit_card,1,555.13
ORD000340,1,wallet,1,9194.0
ORD000341,1,wallet,1,9303.21
ORD000342,1,debit_card,1,9572.83
ORD000343,1,debit_card,1,4101.78
ORD000344,1,net_banking,1,1634.7
ORD000345,1,debit_card,-2,8377.38
ORD000346,1,debit_card,1,8648.82
ORD000347,1,debit_card,1,1440.74
ORD000348,1,net_banking,1,2623.37
ORD000349,1,upi,1,3603.99
ORD000349,2,credit_card,8,2355.14
ORD000350,1,net_banking,1,486.32
ORD000350,2,net_banking,1,269.47
ORD000350,3,credit_card,5,1003.62
ORD000351,1,debit_card,1,1212.22
ORD000352,1,credit_card,10,7981.07
ORD000353,1,upi,1,1861.06
ORD000354,1,net_banking,1,9936.81
ORD000355,1,debit_card,1,4286.46
ORD000356,1,wallet,1,7376.65
ORD000357,1,wallet,1,6857.94
ORD000358,1,credit_card,4,930.12
ORD000359,1,net_banking,1,3112.6
ORD000360,1,debit_card,1,8649.13
ORD000361,1,wallet,1,3286.71
ORD000362,1,debit_card,1,196.23
ORD000363,1,upi,1,8102.22
ORD000364,1,credit_card,4,3347.77
ORD000365,1,debit_card,1,1174.77
ORD000366,1,credit_card,1,999.07
ORD000366,2,upi,1,3189.15
ORD000367,1,net_banking,1,5347.91
ORD000368,1,debit_card,1,8934.42
ORD000369,1,net_banking,1,4342.38
ORD000370,1,upi,1,2045.83
ORD000371,1,debit_card,1,2373.03
ORD000372,1,credit_card,6,1923.89
ORD000373,1,debit_card,1,1484.75
ORD000374,1,net_banking,1,138.17
ORD000375,1,net_banking,1,3519.77
ORD000375,2,wallet,1,2365.56
ORD000376,1,net_banking,1,7594.71
ORD000377,1,upi,1,9278.08
ORD000378,1,net_banking,1,2247.74
ORD000378,2,net_banking,1,4272.67
ORD000378,3,debit_card,1,1958.6
ORD000379,1,credit_card,10,2060.84
ORD000380,1,,1,7531.73
ORD000381,1,net_banking,1,4976.51
ORD000382,1,credit_card,1,982.07
ORD000382,2,debit_card,1,481.92
ORD000382,3,upi,1,642.76
ORD000383,1,credit_card,12,1183.89
ORD000384,1,upi,1,4001.52
ORD000384,2,debit_card,1,3377.66
ORD000385,1,debit_card,1,7752.41
ORD000386,1,upi,1,6938.23
ORD000387,1,upi,1,2812.62
ORD000388,1,credit_card,5,4081.7
ORD000389,1,wallet,1,3513.47
ORD000390,1,wallet,1,4506.91
ORD000391,1,net_banking,1,6917.87
ORD000392,1,debit_card,1,4712.19
ORD000393,1,credit_card,10,8616.25
ORD000394,1,upi,1,2138.76
ORD000395,1,credit_card,11,7691.56
ORD000396,1, credit_card ,8,100.09
ORD000396,2,wallet,1,1092.64
ORD000397,1,debit_card,1,5086.46
ORD000398,1,upi,1,6751.84
ORD000399,1,net_banking,1,3149.34
ORD000400,1,wallet,1,3938.35
ORD000401,1,upi,1,2114.28
ORD000402,1,net_banking,1,6184.33
ORD000403,1,credit_card,10,3775.71
ORD000404,1,net_banking,1,8727.43
ORD000405,1,upi,1,6550.47
ORD000406,1,net_banking,1,1021.0
ORD000407,1,upi,1,6839.93
ORD000408,1,credit_card,5,735.94
ORD000409,1,wallet,1,4630.46
ORD000410,1,wallet,1,71.17
ORD000410,2,net_banking,1,35.13
ORD000411,1,net_banking,1,5760.68
ORD000412,1,wallet,1,494.41
ORD000413,1,credit_card,9,4117.07
ORD000414,1,net_banking,1,7382.89
ORD000415,1,credit_card,11,1355.19
ORD000416,1,net_banking,1,5907.88
ORD000417,1,upi,1,4284.41
ORD000417,2,upi,1,4460.87
ORD000418,1,debit_card,1,6276.25
ORD000419,1,net_banking,1,7596.21
ORD000420,1,debit_card,1,8259.4
ORD000421,1,credit_card,3,3244.87
ORD000422,1,credit_card,3,9141.3
ORD000423,1,upi,1,5682.24
ORD000424,1,wallet,1,8236.51
ORD000425,1,credit_card,11,5144.56
ORD000426,1,credit_card,6,9772.47
ORD000427,1,net_banking,1,4859.8
ORD000428,1,credit_card,9,5611.46
ORD000428,2,debit_card,1,3743.55
ORD000429,1,debit_card,1,1016.89
ORD000430,1,debit_card,1,1906.32
ORD000431,1,debit_card,1,3399.43
ORD000432,1,upi,1,1616.87
ORD000432,2,credit_card,11,1979.26
ORD000433,1,net_banking,1,115.44
ORD000433,2,credit_card,7,692.13
ORD000434,1,debit_card,1,2258.93
ORD000435,1,upi,1,2777.23
ORD000436,1,credit_card,10,5398.6
ORD000437,1,net_banking,1,158.52
ORD000438,1,upi,1,9202.87
ORD000439,1,credit_card,3,5924.56
ORD000440,1,net_banking,1,1012.67
ORD000440,2,debit_card,1,1017.69
ORD000441,1,upi,1,7000.76
ORD000442,1,wallet,1,4280.1
ORD000443,1,debit_card,1,740.76
ORD000444,1,debit_card,1,387.68
ORD000444,2,upi,1,522.47
ORD000444,3,debit_card,1,287.98
ORD000445,1,net_banking,1,2502.29
ORD000446,1,net_banking,1,9797.82
ORD000447,1,net_banking,1,7753.58
ORD000448,1,net_banking,1,5331.66
ORD000449,1,wallet,1,8861.19
ORD000450,1,debit_card,1,9515.47
ORD000451,1,net_banking,1,8355.1
ORD000452,1,wallet,1,6852.79
ORD000453,1,wallet,1,9026.11
ORD000454,1,credit_card,1,6043.36
ORD000455,1,wallet,1,8409.59
ORD000456,1,wallet,1,2477.23
ORD000457,1,wallet,1,4449.71
ORD000458,1,credit_card,2,1797.95
ORD000459,1,net_banking,1,1051.47
ORD000460,1,net_banking,1,2342.37
ORD000461,1,net_banking,1,2490.7
ORD000462,1,credit_card,5,1596.9
ORD000462,2,upi,1,3482.65
ORD000463,1,net_banking,1,6590.86
ORD000464,1,net_banking,1,6232.37
ORD000465,1,credit_card,11,399.72
ORD000466,1,credit_card,7,2762.82
ORD000467,1,upi,1,670.15
ORD000467,2,wallet,1,4539.26
ORD000468,1,debit_card,1,2549.82
ORD000468,2,debit_card,1,5899.16
ORD000469,1,credit_card,5,3874.69
ORD000470,1,net_banking,1,8744.1
ORD000471,1,wallet,1,3469.7
ORD000472,1,upi,1,2472.15
ORD000473,1,net_banking,1,8359.06
ORD000474,1,net_banking,1,1811.21
ORD000475,1,debit_card,1,753.49
ORD000476,1,credit_card,12,1255.36
ORD000477,1,wallet,1,376.52
ORD000477,2,credit_card,6,414.29
ORD000478,1,net_banking,1,84.47
ORD000478,2,wallet,1,1854.75
ORD000479,1,credit_card,4,3090.48
ORD000480,1,upi,1,7505.06
ORD000481,1, credit_card ,10,769.42
ORD000482,1,debit_card,1,3290.1
ORD000483,1,wallet,1,3705.68
ORD000483,2,credit_card,1,1784.23
ORD000484,1,debit_card,1,1155.56
ORD000485,1,credit_card,3,9154.49
ORD000486,1,wallet,1,7529.93
ORD000487,1,wallet,1,3800.66
ORD000488,1,net_banking,1,7936.87
ORD000489,1,upi,1,9220.9
ORD000490,1,upi,1,5062.76
ORD000491,1,net_banking,1,8923.12
ORD000492,1,upi,1,2519.31
ORD000492,2,wallet,1,1931.67
ORD000492,3,debit_card,1,4328.58
ORD000493,1,upi,1,6521.0
ORD000494,1,upi,1,4743.75
ORD000495,1,wallet,1,5970.21
ORD000496,1,net_banking,1,9578.08
ORD000497,1,upi,1,5798.59
ORD000498,1,net_banking,1,580.29
ORD000499,1,credit_card,10,2927.9
ORD000499,2,net_banking,1,1694.17
ORD000500,1,credit_card,3,2862.48
ORD000500,2,credit_card,12,335.81
ORD000500,3,credit_card,8,949.24
ORD000501,1,debit_card,1,4140.4
ORD000501,2,wallet,1,5846.31
ORD000502,1,credit_card,5,5397.4
ORD000503,1,wallet,1,561.68
ORD000504,1,debit_card,1,833.31
ORD000505,1,net_banking,1,7504.4
ORD000506,1,wallet,1,2093.73
ORD000507,1,net_banking,1,2250.99
ORD000507,2,net_banking,1,2909.25
ORD000508,1,upi,1,2014.69
ORD000508,2,net_banking,1,6147.36
ORD000509,1,net_banking,1,8242.56
ORD000510,1,wallet,1,6286.17
ORD000511,1,upi,1,2510.6
ORD000512,1,debit_card,1,1792.77
ORD000512,2,upi,1,1679.37
ORD000513,1,credit_card,3,9492.08
ORD000514,1,debit_card,1,5577.1
ORD000515,1,credit_card,7,5664.26
ORD000516,1,upi,1,3472.13
ORD000517,1,upi,1,1375.86
ORD000518,1,wallet,1,2701.42
ORD000519,1,upi,1,856.93
ORD000520,1,,1,3311.29
ORD000521,1,net_banking,1,9745.71
ORD000522,1,credit_card,11,4667.09
ORD000523,1,credit_card,1,5031.46
ORD000524,1,credit_card,1,2989.56
ORD000525,1,debit_card,1,2572.57
ORD000526,1,credit_card,4,839.15
ORD000527,1,credit_card,11,4045.91
ORD000528,1,net_banking,1,9728.18
ORD000529,1,net_banking,1,7049.37
ORD000530,1,debit_card,1,5329.2
ORD000531,1,wallet,1,7533.56
ORD000532,1,wallet,1,6819.47
ORD000533,1,wallet,1,2043.74
ORD000534,1,credit_card,8,1380.9
ORD000535,1,upi,1,8630.01
ORD000536,1,debit_card,1,4033.35
ORD000537,1,debit_card,1,4133.99
ORD000538,1,debit_card,1,6948.1
ORD000539,1,wallet,1,0.0
ORD000540,1,credit_card,7,3386.49
ORD000541,1,wallet,1,3724.89
ORD000542,1,debit_card,1,4200.19
ORD000542,2,debit_card,1,397.4
ORD000542,3,net_banking,1,1682.5
ORD000543,1,debit_card,1,6453.53
ORD000544,1,wallet,1,206.31
ORD000545,1,net_banking,1,1203.21
ORD000546,1,wallet,1,0.0
ORD000547,1,upi,1,1387.69
ORD000547,2,upi,1,2244.59
ORD000548,1,DEBIT_CARD,1,3791.64
ORD000549,1,debit_card,1,4814.43
ORD000550,1,debit_card,1,8079.04
ORD000551,1,upi,1,2380.6
ORD000552,1,upi,1,3306.73
ORD000553,1,upi,1,8493.44
ORD000554,1,net_banking,1,1968.07
ORD000555,1,wallet,1,331.44
ORD000556,1,credit_card,10,2139.25
ORD000557,1,credit_card,3,4498.17
ORD000558,1,upi,1,5075.18
ORD000559,1,net_banking,1,3225.81
ORD000560,1,wallet,1,7973.53
ORD000561,1,upi,1,3252.38
ORD000562,1,credit_card,4,834.85
ORD000563,1,wallet,1,1562.44
ORD000564,1,NET_BANKING,1,7949.77
ORD000565,1,debit_card,1,8802.99
ORD000566,1,credit_card,8,414.69
ORD000566,2,debit_card,1,5361.67
ORD000567,1,credit_card,4,0.0
ORD000568,1,wallet,1,7456.31
ORD000569,1,upi,1,1363.89
ORD000570,1,wallet,1,5004.22
ORD000571,1,net_banking,1,4328.13
ORD000572,1,credit_card,2,0.0
ORD000573,1,net_banking,1,2791.9
ORD000574,1,credit_card,4,1985.97
ORD000575,1,wallet,1,902.07
ORD000576,1,net_banking,1,219.9
ORD000576,2,net_banking,1,4330.32
ORD000577,1,credit_card,8,3263.68
ORD000578,1,wallet,1,4321.57
ORD000579,1,wallet,1,2304.55
ORD000580,1,debit_card,1,6650.54
ORD000581,1,net_banking,1,1519.72
ORD000582,1,wallet,1,6909.71
ORD000583,1,net_banking,1,5378.96
ORD000584,1,wallet,1,7149.06
ORD000585,1,net_banking,1,212.23
ORD000585,2,upi,1,105.8
ORD000586,1,wallet,1,1604.97
ORD000587,1,net_banking,1,7332.74
ORD000588,1,upi,1,7565.8
ORD000589,1,credit_card,8,5842.68
ORD000590,1,upi,1,6256.43
ORD000591,1,wallet,1,1364.54
ORD000591,2,debit_card,1,4652.97
ORD000592,1,UPI,1,4885.48
ORD000593,1,net_banking,1,5763.26
ORD000594,1,wallet,1,7664.41
ORD000595,1,wallet,1,4383.38
ORD000596,1,upi,1,4434.06
ORD000597,1,wallet,1,2046.87
ORD000598,1,upi,1,1350.72
ORD000599,1,debit_card,1,1338.82
ORD000600,1,upi,1,7495.77
ORD000601,1,credit_card,12,7837.37
ORD000602,1,credit_card,10,2865.74
ORD000603,1,upi,1,6765.47
ORD000604,1,credit_card,5,3159.51
ORD000605,1,upi,1,1390.13
ORD000606,1,debit_card,1,8626.63
ORD000607,1,wallet,1,2587.74
ORD000608,1,wallet,1,4941.07
ORD000609,1,wallet,1,3996.22
ORD000610,1,net_banking,1,2251.32
ORD000611,1,debit_card,1,4565.69
ORD000612,1,upi,1,3262.95
ORD000613,1,credit_card,3,454.93
ORD000614,1,debit_card,1,5961.46
ORD000615,1,wallet,1,4324.56
ORD000616,1,wallet,1,5236.82
ORD000617,1,debit_card,1,4835.39
ORD000618,1,debit_card,1,645.07
ORD000619,1,credit_card,1,3317.24
ORD000620,1,WALLET,1,2825.83
ORD000620,2,credit_card,11,5298.01
ORD000621,1,upi,1,357.1
ORD000622,1,credit_card,7,1964.58
ORD000623,1,wallet,1,1473.92
ORD000624,1,credit_card,9,5209.39
ORD000625,1,credit_card,5,3013.25
ORD000626,1,net_banking,1,681.83
