product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00038,furniture,54,1359,3,7422.8,63.14,19.93,47.45
PROD00039,automotive,58,1566,2,6330.17,43.81,38.76,6.96
PROD00040,office,42,1859,10,1260.6,31.02,28.55,67.59
PROD00041,PET_SUPPLIES,33,297,10,3402.43,8.16,53.41,56.76
PROD00042,pet_supplies,77,743,3,6739.85,66.63,27.14,
PROD00043,automotive,68,1779,7,1154.76,11.14,45.73,42.85
PROD00044,kitchen,32,630,6,2412.03,76.54,20.01,12.4
PROD00045,,14,1253,4,2703.07,75.51,25.26,22.64
PROD00046,pet_supplies,65,1528,9,2463.34,66.94,15.27,14.25
PROD00047,office,69,627,9,3529.61,60.0,31.07,
PROD00048,toys,22,1541,5,7672.7,90.51,23.99,15.56
PROD00049,home_decor,48,989,2,7329.66,32.65,15.61,34.18
PROD00050,toys,78,1742,4,1648.6,54.74,54.87,57.01
PROD00051,furniture,36,121,8,2047.82,68.49,48.05,31.5
PROD00052,home_decor,27,1548,10,6657.29,87.65,,74.21
PROD00053,beauty,59,1007,10,1450.8,27.92,32.25,48.46
PROD00054,TOYS,33,684,6,9782.14,66.77,24.0,65.6
PROD00055,kitchen,17,865,1,9743.67,60.81,53.53,79.67
PROD00056,ELECTRONICS,38,328,1,6937.66,55.82,45.59,57.78
PROD00057,home_decor,75,632,10,5065.33,33.74,59.47,67.73
PROD00058,kitchen,67,1701,4,4161.1,47.4,39.72,10.64
PROD00059,kitchen,67,328,7,8058.82,45.35,8.36,7.75
PROD00060,automotive,29,1651,2,8735.66,8.56,9.62,54.87
PROD00061,beauty,55,1444,1,7316.05,11.83,33.04,52.52
PROD00062,automotive,27,1323,7,5807.62,98.95,16.02,44.05
PROD00063,books,64,294,8,7720.42,44.84,11.94,
PROD00064,electronics,32,1074,7,8004.81,89.11,29.8,23.14
PROD00065,pet_supplies,66,1240,9,5418.96,53.55,,13.32
PROD00066,home_decor,30,1001,7,8362.93,27.95,22.54,52.33
PROD00067, automotive ,41,1398,4,7819.3,18.16,54.55,77.52
PROD00068,automotive,37,1749,4,746.07,83.92,23.56,67.81
PROD00069, automotive ,61,707,8,1148.15,42.53,,69.56
PROD00070, toys ,42,53,1,4097.95,64.15,19.82,65.66
PROD00071,sports,55,1804,9,2744.9,54.26,6.27,44.86
PROD00072,pet_supplies,58,1167,6,710.58,36.7,10.0,34.68
PROD00073,toys,39,104,5,418.16,78.69,54.06,45.54
PROD00074,toys,70,1774,2,5218.09,49.12,15.3,45.33
PROD00075,fashion,30,1559,7,3279.97,17.47,28.81,77.72
PROD00076,office,56,1927,7,6414.58,90.12,49.21,55.9
PROD00077,electronics,45,1345,1,4389.9,7.1,34.37,62.7
PROD00078,automotive,68,1740,7,5072.51,67.45,41.6,37.49
PROD00079,home_decor,66,1985,3,8723.95,14.33,43.55,12.93
PROD00080,books,38,1711,5,4158.06,69.08,21.89,78.0
PROD00081,sports,60,538,9,1980.98,12.25,2.77,29.56
PROD00082,sports,23,1853,9,4203.77,63.27,17.91,35.87
PROD00083,FURNITURE,52,286,8,8922.3,76.54,57.0,62.89
PROD00084,automotive,37,1266,6,6124.61,75.12,10.09,59.05
PROD00085,automotive,59,178,7,1027.71,65.46,59.91,77.86
PROD00086,furniture,71,137,1,8947.77,13.41,34.76,67.6
PROD00087,home_decor,22,604,7,6853.79,13.76,39.6,72.53
PROD00088,beauty,72,212,10,5552.26,23.16,21.77,56.37
PROD00089,fashion,15,526,6,5618.75,41.64,19.3,29.44
PROD00090,kitchen,16,1873,9,6850.95,50.37,19.99,57.37
PROD00091,furniture,55,1862,9,855.14,55.94,35.53,79.14
PROD00092,home_decor,18,392,2,2562.18,56.75,25.53,63.95
PROD00093,office,41,851,3,4342.82,70.42,23.48,26.19
PROD00094,office,59,644,1,3542.99,13.25,14.63,50.5
PROD00095,furniture,50,929,2,5031.36,20.34,30.26,55.95
PROD00096,books,73,56,9,2875.95,52.03,55.12,5.27
PROD00097,kitchen,19,1775,8,6965.22,43.1,3.4,
PROD00098,home_decor,12,51,1,6873.35,66.56,49.79,64.22
PROD00099,books,31,1264,8,945.83,26.38,7.68,63.82
PROD00100,office,48,197,7,3958.93,87.04,7.29,68.12
PROD00101,furniture,48,1059,6,1906.35,57.21,24.59,10.11
PROD00102,beauty,39,1495,5,4107.24,65.47,7.76,60.65
PROD00103,furniture,13,1724,7,227.28,25.81,15.71,59.13
PROD00104,beauty,27,1016,2,7678.97,27.86,28.42,52.64
PROD00105,KITCHEN,20,211,8,4865.21,69.34,33.53,39.37
PROD00106,toys,21,123,2,0.0,32.68,47.31,50.44
PROD00107,furniture,49,613,4,7045.01,67.8,48.05,39.91
PROD00108,toys,45,541,3,5947.49,63.13,31.55,48.05
PROD00109,kitchen,72,1293,6,2910.2,97.95,9.22,49.14
PROD00110,furniture,80,1507,2,6707.84,17.73,54.13,48.48
PROD00111,electronics,37,425,2,3742.26,27.22,12.92,67.46
PROD00112,sports,54,1949,5,999999.0,61.17,-10.0,40.56
PROD00113,beauty,43,143,2,8771.94,21.77,8.17,53.36
PROD00114,automotive,49,1327,8,5323.04,73.64,-10.0,58.62
PROD00115,electronics,19,971,2,8210.21,61.4,32.22,55.3
PROD00116,fashion,41,1095,6,7401.65,50.49,34.38,9.91
PROD00117,electronics,64,727,5,6895.06,60.18,44.66,62.37
PROD00118,fashion,22,1395,10,355.39,52.1,6.01,41.01
PROD00119,electronics,70,1491,4,3781.86,51.2,52.39,53.84
PROD00120,home_decor,29,62,9,1058.82,74.09,4.78,50.32
PROD00121,home_decor,59,1014,6,8082.74,75.11,10.56,12.36
PROD00122, toys ,20,1704,9,2545.76,15.41,51.16,59.84
PROD00123,toys,11,527,1,4099.77,64.82,26.37,76.48
PROD00124,furniture,56,536,10,7408.24,28.48,21.86,59.44
PROD00125,toys,21,1434,10,7553.27,95.45,37.29,69.21
PROD00126,electronics,52,942,1,6232.83,57.49,36.73,8.32
PROD00127,toys,16,211,1,6376.79,95.46,55.65,77.96
PROD00128,fashion,33,1774,3,1172.64,95.41,45.4,70.35
PROD00129, office ,61,1080,5,4300.84,64.89,15.52,75.39
PROD00130,books,41,521,3,5218.91,91.69,,69.87
PROD00131,,29,742,2,2027.45,27.15,50.62,42.01
PROD00132,FURNITURE,70,1051,7,8060.72,74.18,16.41,17.79
PROD00133,kitchen,65,1003,2,5494.57,39.19,41.55,39.91
PROD00134,books,31,1486,1,7030.7,48.88,56.79,
PROD00135,kitchen,38,1717,8,2048.71,51.0,35.64,28.22
PROD00136,toys,34,1827,9,5281.79,74.5,,28.9
PROD00137,pet_supplies,35,1498,1,205.75,61.62,46.98,10.76
PROD00138,books,52,1153,10,3503.96,9.01,31.81,77.77
PROD00139,electronics,20,1562,9,5429.91,10.16,34.61,14.06
PROD00140,fashion,11,121,10,6682.17,36.61,57.64,72.99
PROD00141,electronics,19,1567,7,3012.47,79.41,40.59,
PROD00142,automotive,26,886,8,6635.31,78.52,3.86,26.93
PROD00143,office,73,1097,6,4860.92,80.58,5.13,57.64
PROD00144,pet_supplies,30,1639,1,7787.96,73.41,28.63,14.35
PROD00145,PET_SUPPLIES,75,996,4,3777.41,37.15,41.36,
PROD00146,electronics,64,1506,3,9304.63,20.16,43.06,33.86
PROD00147, fashion ,27,1905,7,2995.03,33.15,47.02,47.12
PROD00148,automotive,60,283,7,4372.67,92.9,53.4,42.7
PROD00149,beauty,37,1254,6,5831.37,44.75,2.68,11.4
PROD00150,toys,63,736,2,7075.72,15.65,38.46,72.08
PROD00151,toys,75,273,7,6880.51,28.21,57.23,7.26
PROD00152,toys,26,662,2,7275.41,37.8,30.91,9.71
PROD00153,pet_supplies,65,831,2,1064.54,49.96,39.78,47.31
PROD00154,OFFICE,76,1383,4,5574.2,18.81,42.37,60.27
PROD00155,fashion,73,398,9,4874.76,45.39,33.34,11.82
PROD00156,fashion,47,1031,6,6609.15,70.67,33.85,15.86
PROD00157,toys,58,317,1,7958.97,69.69,4.35,18.54
PROD00158,home_decor,46,752,5,8664.39,60.38,33.42,20.89
PROD00159,beauty,58,92,3,2525.18,75.75,59.72,20.66
PROD00160,electronics,49,537,6,9387.79,81.37,42.85,5.77
PROD00161,kitchen,14,425,8,6455.19,31.73,-10.0,28.27
PROD00162,office,17,431,5,6939.27,63.83,59.37,40.52
PROD00163,toys,52,695,2,5604.42,42.95,36.35,55.02
PROD00164,kitchen,36,300,1,8192.35,67.56,41.91,38.83
PROD00165,kitchen,22,152,1,8202.14,56.44,32.61,21.75
PROD00166,home_decor,58,874,2,3419.56,17.12,30.4,33.07
PROD00167,office,21,1885,6,3624.39,9.72,21.64,
PROD00168,office,36,875,7,8332.11,78.05,19.19,6.52
PROD00169,books,42,981,2,1340.82,20.96,38.71,73.61
PROD00170,beauty,17,236,3,4747.83,29.84,19.03,69.77
PROD00171,ELECTRONICS,49,413,6,6023.77,24.08,7.91,27.97
PROD00172,sports,12,774,9,323.27,31.49,30.98,55.64
PROD00173,TOYS,52,1846,10,5741.32,16.58,4.75,46.09
PROD00174,home_decor,59,741,8,4746.78,33.01,5.23,11.76
PROD00175,pet_supplies,51,381,4,4062.5,14.3,28.68,72.96
PROD00176,books,31,56,1,9738.76,50.33,31.43,66.58
PROD00177,furniture,50,577,9,327.08,48.87,35.22,47.35
PROD00178,sports,23,1251,3,2807.77,40.97,55.87,14.5
PROD00179,fashion,63,983,8,2180.79,26.19,33.99,37.89
PROD00180,books,38,599,9,7039.77,87.04,-10.0,15.17
PROD00181,toys,55,770,6,8033.05,28.74,24.96,59.16
PROD00182,BEAUTY,31,276,8,8861.27,21.25,16.88,42.89
PROD00183,,47,558,4,3392.63,71.62,49.99,21.63
PROD00184, automotive ,72,1780,4,8473.44,25.51,37.68,33.79
PROD00185,furniture,59,315,9,6992.75,11.0,30.23,45.39
PROD00186,furniture,42,1776,2,3642.86,90.94,49.95,74.91
PROD00187,fashion,25,411,2,306.82,85.58,28.58,47.47
PROD00188,home_decor,47,873,9,174.35,46.4,5.95,79.53
PROD00189,automotive,76,693,1,701.09,,36.74,69.56
PROD00190,kitchen,74,519,4,8604.77,65.36,18.83,56.3
PROD00191,toys,79,539,3,9808.62,74.02,43.82,33.75
PROD00192,office,34,1893,1,2323.77,50.13,40.21,9.46
PROD00193,kitchen,12,1711,7,3773.59,29.38,3.24,64.04
PROD00194, electronics ,14,490,10,7382.13,78.29,52.7,53.69
PROD00195,electronics,39,941,9,7844.5,31.01,42.78,60.06
PROD00196,office,26,1704,9,7803.47,92.69,,70.23
PROD00197,furniture,68,1320,4,3545.29,28.86,6.76,74.03
PROD00198,beauty,29,137,2,9694.23,49.87,35.96,67.62
PROD00199,kitchen,30,647,2,5201.13,,21.6,25.06
PROD00200,automotive,67,208,10,2340.28,19.11,7.52,15.69
PROD00201,fashion,60,821,5,9085.6,51.05,37.39,36.73
PROD00202,automotive,68,576,5,710.12,62.52,55.62,31.79
PROD00203,furniture,55,1228,2,6398.9,20.87,39.98,49.13
PROD00204,kitchen,36,1168,2,9596.14,25.48,2.23,13.42
PROD00205,furniture,48,490,8,9476.02,56.58,24.69,18.9
PROD00206,sports,31,1971,7,8884.58,,55.58,10.04
PROD00207,sports,26,1867,3,9398.76,50.12,35.9,34.28
PROD00208,,15,1274,10,8797.42,33.65,17.38,57.97
PROD00209,sports,46,1281,9,8676.34,65.65,41.24,20.0
PROD00210,,12,956,5,9270.38,6.0,51.21,45.83
PROD00211,kitchen,55,1975,10,5807.78,66.22,25.14,6.25
PROD00212,home_decor,13,60,5,5491.83,44.38,7.62,68.15
PROD00213,toys,22,1955,4,8303.56,93.31,16.28,12.91
PROD00214,,35,1989,1,9431.05,57.64,34.0,8.08
PROD00215,books,33,295,6,6247.43,95.23,40.2,
PROD00216,sports,49,232,4,5571.23,37.24,28.47,62.55
PROD00217,beauty,69,1044,7,7558.85,87.09,42.96,50.27
PROD00218,electronics,13,815,7,8889.52,35.96,54.22,76.26
PROD00219,toys,26,1491,6,0.0,56.49,2.2,44.01
PROD00220,automotive,27,1944,9,8066.05,6.01,57.91,28.57
PROD00221,electronics,24,568,10,6684.91,13.84,56.14,63.19
PROD00222,toys,20,1027,9,6606.02,93.88,38.68,57.17
PROD00223,sports,64,1694,9,7275.84,37.67,38.82,18.29
PROD00224,beauty,29,1712,4,4285.55,70.41,-10.0,45.82
PROD00225,home_decor,40,1299,7,999999.0,65.36,57.23,23.15
PROD00226,home_decor,63,345,10,1472.75,67.52,33.3,67.34
PROD00227,home_decor,28,1868,8,5840.17,87.25,12.19,59.22
PROD00228,sports,28,1441,7,7879.91,35.35,12.11,19.12
PROD00229, kitchen ,11,1615,7,3687.08,45.69,31.93,25.83
PROD00230,furniture,33,1112,7,6285.64,94.55,36.38,38.16
PROD00231,toys,70,641,2,7742.41,73.32,48.01,20.09
PROD00232,beauty,29,865,3,3123.75,84.4,43.91,79.28
PROD00233,kitchen,43,685,3,6551.27,50.77,18.66,
PROD00234,home_decor,61,1786,4,1382.77,84.79,40.63,21.48
PROD00235,books,21,1432,4,6962.62,67.7,8.46,22.2
PROD00236,books,66,625,4,1543.25,77.22,,44.93
PROD00237,FURNITURE,61,953,7,8091.54,47.57,28.14,76.73
PROD00238,office,35,1859,10,9862.57,38.75,26.23,12.56
PROD00239,beauty,69,426,8,5319.21,16.22,26.87,42.72
PROD00240,pet_supplies,69,1938,4,8114.55,47.97,5.17,30.23
PROD00241,fashion,75,51,8,1653.8,82.66,6.9,9.8
PROD00242,electronics,80,719,5,8718.2,44.17,12.65,41.68
PROD00243,books,78,1837,3,3470.4,73.89,34.92,29.94
PROD00244,toys,79,253,3,490.05,35.1,44.94,44.71
PROD00245,furniture,42,1251,8,1305.09,84.71,39.71,48.14
PROD00246,,60,245,4,1640.45,77.26,27.13,
PROD00247,beauty,61,893,10,9100.32,14.9,29.37,77.51
PROD00248,electronics,66,1656,5,3241.65,31.22,50.93,64.52
PROD00249,office,59,1248,8,2494.02,24.77,14.81,25.89
PROD00250,sports,16,1462,3,4125.22,29.12,54.67,51.6
PROD00251,toys,14,790,7,4585.76,36.48,11.64,8.68
PROD00252,electronics,50,1578,6,2543.54,68.08,36.37,28.01
PROD00253,home_decor,59,1334,1,5629.58,68.95,4.15,78.08
PROD00254,books,10,1329,9,3193.12,47.09,9.37,72.58
PROD00255,FASHION,68,947,4,6778.83,56.59,44.61,21.21
PROD00256,books,60,1058,3,8871.07,10.37,46.0,35.53
PROD00257,fashion,37,1129,6,5303.19,95.88,12.75,69.17
PROD00258,beauty,58,1570,2,8307.7,69.94,50.87,25.24
PROD00259,automotive,69,643,6,9005.95,35.48,16.71,34.81
PROD00260,toys,21,1468,6,7201.9,56.84,34.74,5.15
PROD00261,fashion,13,64,2,6804.42,35.1,46.2,57.69
PROD00262,toys,29,1332,9,7952.6,96.0,34.66,
PROD00263,electronics,20,1825,9,787.46,42.87,59.51,12.23
PROD00264,furniture,49,876,1,7679.91,51.59,51.49,14.49
PROD00265,TOYS,49,830,3,381.17,73.5,9.09,65.5
PROD00266,electronics,43,1758,5,7888.7,51.59,22.69,78.5
PROD00267,fashion,23,924,5,5992.52,30.0,36.61,52.59
PROD00268, toys ,62,459,10,6799.35,12.53,29.17,54.45
PROD00269,kitchen,13,1797,5,1005.46,6.89,8.65,
PROD00270,kitchen,26,1961,2,4362.8,45.27,29.63,65.5
PROD00271,office,26,1130,10,6566.09,98.14,35.41,73.26
PROD00272,toys,56,653,5,9590.3,13.81,41.65,9.41
PROD00273,sports,25,1735,4,7507.71,54.84,55.2,31.28
PROD00274,pet_supplies,55,1769,4,2990.13,92.72,7.93,50.32
PROD00275,kitchen,57,1135,10,0.0,96.06,28.22,47.65
PROD00276, fashion ,11,341,10,5181.92,44.26,48.68,8.91
PROD00277,electronics,39,162,1,9715.3,59.93,20.37,39.52
PROD00278,furniture,36,996,10,5307.01,87.46,47.44,74.36
PROD00279,fashion,60,217,9,5615.49,15.86,36.75,43.76
PROD00280,fashion,52,150,10,1550.7,70.8,42.42,57.55
PROD00281,furniture,66,130,9,5368.16,49.15,5.16,72.64
PROD00282,AUTOMOTIVE,41,424,10,-500.0,44.16,50.11,7.21
PROD00283,kitchen,10,1729,8,5462.57,70.44,6.07,74.16
PROD00284,toys,44,1834,5,4758.46,15.87,17.68,11.49
PROD00285,home_decor,57,439,8,7562.52,80.35,45.58,65.35
PROD00286,sports,12,1531,4,2885.77,67.53,38.49,16.88
PROD00287,automotive,50,904,3,9237.85,10.57,58.32,40.84
PROD00288,electronics,68,1530,7,1672.69,71.3,16.44,8.26
PROD00289,furniture,45,1024,2,194.59,58.16,43.97,72.72
PROD00290,electronics,44,114,8,7105.33,,57.12,53.36
PROD00291,toys,45,107,1,593.61,57.98,56.65,16.63
PROD00292,automotive,16,1020,2,9655.68,95.71,50.75,49.78
PROD00293,sports,16,1162,8,6908.14,22.67,12.44,72.06
PROD00294,home_decor,62,1543,8,7558.46,24.58,2.31,78.53
PROD00295,toys,65,1432,8,7888.38,96.37,9.79,38.74
PROD00296,automotive,40,443,5,3368.04,65.18,51.33,36.96
PROD00297,furniture,58,719,3,7720.51,22.47,50.98,42.82
PROD00298,electronics,74,235,9,9474.36,18.31,42.21,30.33
PROD00299,office,39,1132,3,2857.15,99.88,22.64,36.07
PROD00300,kitchen,42,193,5,6963.93,68.31,6.76,28.29
PROD00301,electronics,57,1620,1,8194.2,68.02,40.46,64.0
PROD00302,sports,76,1899,5,5998.47,45.04,29.7,72.91
PROD00303,furniture,72,220,5,7479.72,84.28,44.41,39.96
PROD00304,toys,69,1402,8,2907.68,59.64,3.99,35.97
PROD00305,fashion,27,613,4,8333.32,80.65,37.71,31.32
PROD00306,home_decor,77,1208,9,3370.99,30.6,56.94,72.77
PROD00307,toys,40,848,6,861.04,48.26,3.15,60.02
PROD00308,home_decor,76,642,9,5774.86,49.71,53.92,57.39
PROD00309,furniture,79,1106,10,409.2,51.42,26.59,21.32
PROD00310,sports,17,421,3,9180.23,88.06,30.07,38.9
PROD00311,office,52,1402,8,953.09,13.51,2.51,55.62
PROD00312,toys,38,1726,3,9609.01,91.3,42.34,40.37
PROD00313,toys,18,991,7,2294.11,26.61,50.82,77.67
PROD00314,furniture,76,1600,10,6622.24,82.21,11.35,19.6
PROD00315,beauty,64,529,4,3233.24,65.3,32.59,39.33
PROD00316,electronics,68,441,4,3867.27,80.3,36.94,15.5
PROD00317,OFFICE,18,1157,10,103.33,38.8,3.97,12.75
PROD00318,automotive,38,748,7,6634.04,88.48,28.82,15.2
PROD00319,books,59,938,7,9218.08,51.54,3.29,6.04
PROD00320,automotive,62,657,9,1662.71,93.31,54.02,24.26
PROD00321,kitchen,14,170,7,7303.16,58.05,9.97,54.72
PROD00322,beauty,44,1619,6,8583.16,11.93,33.19,78.31
PROD00323, toys ,54,1968,10,6357.96,92.29,36.3,5.26
PROD00324,books,71,1655,10,9320.29,58.94,5.19,53.19
PROD00325,beauty,24,1096,1,8212.69,16.78,51.16,43.1
PROD00326,TOYS,77,936,8,5952.49,40.44,40.49,79.71
PROD00327,office,35,1585,6,8923.13,77.72,30.51,50.93
PROD00328,toys,77,1869,6,5349.15,74.74,7.02,73.08
PROD00329,beauty,14,1653,2,999.93,46.23,13.08,70.98
PROD00330,books,23,1416,2,-500.0,36.3,27.18,11.33
PROD00331,furniture,65,1470,9,2807.27,71.16,22.63,40.07
PROD00332,toys,77,1610,3,3549.82,76.16,8.79,37.94
PROD00333,automotive,25,822,9,7248.45,50.92,21.54,48.13
PROD00334,kitchen,34,873,10,2651.13,53.8,30.42,28.2
PROD00335,home_decor,34,1509,7,4297.19,8.92,48.4,48.39
PROD00336,kitchen,35,84,4,1875.56,52.74,46.16,28.04
PROD00337,home_decor,15,1793,8,3675.17,77.73,28.46,62.3
PROD00338,kitchen,27,931,5,8731.68,19.83,46.3,63.94
PROD00339,automotive,40,1685,10,7558.83,87.46,29.09,65.11
PROD00340,toys,27,341,8,1494.88,6.36,24.58,47.02
PROD00341, books ,21,150,1,376.47,10.35,48.65,63.41
PROD00342,books,47,397,4,2487.29,37.3,-10.0,65.57
PROD00343,fashion,29,1163,5,1728.15,76.86,3.91,26.13
PROD00344,toys,31,1753,2,5542.86,89.84,30.2,66.05
PROD00345,OFFICE,65,1196,2,9354.15,32.61,59.63,21.72
PROD00346,kitchen,62,1186,5,3423.8,95.62,55.72,70.38
PROD00347, sports ,53,1515,1,7633.24,85.55,23.89,22.54
PROD00348,beauty,44,1487,4,3416.22,64.03,46.35,75.6
PROD00349,sports,40,196,5,3348.1,73.04,6.9,27.55
PROD00350,books,22,193,2,6431.31,51.05,35.58,11.77
PROD00351,electronics,48,111,10,6191.2,92.9,13.9,75.55
PROD00352,furniture,61,1116,10,3442.11,44.67,8.75,40.42
PROD00353,fashion,37,755,7,6703.88,9.9,11.11,13.77
PROD00354,home_decor,19,1774,1,5130.85,32.5,30.32,66.06
PROD00355,books,37,1468,1,5815.59,32.16,20.97,29.53
PROD00356,automotive,46,789,1,9215.47,74.06,37.92,13.33
PROD00357,office,31,840,4,7058.76,18.76,58.87,51.23
PROD00358,furniture,35,1804,3,8462.79,9.9,49.49,6.8
PROD00359,toys,26,1981,10,8754.35,82.84,36.04,51.02
PROD00360,beauty,56,939,8,3633.14,48.15,29.92,67.43
PROD00361,kitchen,32,116,8,0.0,64.47,34.51,11.43
PROD00362, office ,23,1323,1,1855.71,24.73,31.4,70.15
PROD00363,toys,34,532,7,3088.33,9.49,15.76,53.92
PROD00364,sports,10,1797,6,9420.58,30.18,26.49,53.44
PROD00365,automotive,44,941,5,8301.32,88.61,15.28,66.02
PROD00366,AUTOMOTIVE,48,1849,6,7057.74,7.8,17.07,40.92
PROD00367,books,26,64,9,864.55,79.85,15.39,53.06
PROD00368,toys,75,69,2,1967.39,22.57,25.58,40.87
PROD00369,sports,35,1968,3,832.5,90.71,47.81,33.3
PROD00370,pet_supplies,19,1173,1,3216.12,13.05,51.36,32.34
PROD00371,office,54,656,3,2563.95,73.42,19.03,36.27
PROD00372,sports,64,599,9,2036.89,50.81,15.99,16.33
PROD00373,office,53,503,6,6148.02,9.95,2.56,8.42
PROD00374,kitchen,64,1702,2,4231.72,94.9,14.9,53.73
PROD00375,beauty,12,854,10,5509.82,99.6,56.28,26.98
PROD00376,furniture,75,1489,1,6589.64,95.45,29.02,73.07
PROD00377,fashion,16,1548,3,7013.7,73.27,58.72,75.31
PROD00378,sports,78,134,8,1066.03,90.75,41.83,72.83
PROD00379,pet_supplies,22,1628,8,5646.11,53.49,,41.28
PROD00380,sports,41,1306,8,7832.58,28.71,53.89,74.76
PROD00381,kitchen,56,1800,2,2030.27,29.33,14.58,73.94
PROD00382,toys,71,993,10,9925.6,20.32,17.24,69.49
PROD00383,automotive,48,324,8,9693.14,33.86,54.82,5.7
PROD00384,office,48,850,1,1202.58,12.1,32.1,58.12
PROD00385,furniture,38,1161,9,9423.16,33.17,17.17,
PROD00386,electronics,71,1253,7,6987.06,65.6,19.66,62.1
PROD00387,books,28,531,2,3856.23,49.84,40.25,74.38
PROD00388,BOOKS,44,1613,3,4480.1,22.15,22.34,78.57
PROD00389,toys,13,753,6,6243.69,40.56,35.46,49.52
PROD00390,BOOKS,77,632,4,9774.44,11.01,37.18,18.83
PROD00391,kitchen,34,1543,2,6826.77,43.61,20.39,37.04
PROD00392,sports,49,298,7,3756.45,43.97,59.32,52.5
PROD00393,sports,36,1163,9,1968.35,67.42,21.7,60.61
PROD00394,furniture,20,273,3,6954.41,14.79,36.8,40.21
PROD00395,TOYS,19,273,9,9206.91,80.15,6.0,26.57
PROD00396,electronics,79,1050,7,5368.12,23.75,35.22,17.8
PROD00397,fashion,41,412,9,6952.75,50.78,-10.0,43.98
PROD00398,fashion,60,1264,7,4459.13,29.98,24.65,33.03
PROD00399,beauty,40,518,10,2214.69,35.52,3.78,36.75
PROD00400,furniture,62,1935,7,3270.69,47.07,23.36,59.47
PROD00401,fashion,52,1988,6,7675.0,42.4,13.7,59.94
PROD00402,fashion,28,1772,7,1684.68,57.41,44.11,13.58
PROD00403,home_decor,74,467,1,7232.05,20.4,11.62,58.88
PROD00404, books ,14,278,7,2114.34,26.8,55.71,29.47
PROD00405,automotive,33,1391,3,2783.19,21.41,35.35,68.41
PROD00406,automotive,14,709,8,9678.37,8.17,45.45,73.36
PROD00407,sports,61,1167,3,3233.78,65.26,9.9,31.52
PROD00408,fashion,35,887,4,4943.91,49.65,39.66,29.99
PROD00409,electronics,34,92,1,8350.24,76.4,5.43,10.87
PROD00410,SPORTS,62,1123,1,9570.18,24.29,7.74,17.87
PROD00411,toys,10,720,10,4234.93,11.95,52.79,54.36
PROD00412,kitchen,10,58,4,4905.91,80.33,13.58,22.01
PROD00413, fashion ,51,390,7,3610.32,33.26,31.58,47.58
PROD00414,electronics,74,1412,6,-500.0,26.37,10.1,53.88
PROD00415,home_decor,40,1034,8,7001.89,17.95,58.5,74.34
PROD00416,electronics,71,1211,1,2087.8,57.31,27.51,58.03
PROD00417,home_decor,47,1629,6,4860.78,35.16,29.68,34.86
